Lp;Nazwa;Audio;Kierunek;Extras
1;Dajwór 01;Dajwór;Cichy Kącik;
2;Plac Bohaterów Getta 01;Plac Bohaterów Getta;;
3;Korona 02;Korona;;
4;Plac Wolnica 02;Plac Wolnica;;
5;Stradom 04;Stradom;;
6;Wawel 01;Wawel;;
7;św. Gertrudy 01;Św. Gertrudy;;
8;Plac Wszystkich Świętych 01;Plac Wszystkich Świętych;;
9;Filharmonia 01;Filharmonia;;
10;UJ / AST 01;UJ AST;;
11;Muzeum Narodowe 01;Muzeum Narodowe;;
12;Oleandry 01;Oleandry;;
13;Park Jordana 01;Park Jordana;;
14;Reymana 01;Reymana;;
15;Cichy Kącik 91;Cichy Kącik;;koniec_trasy
