# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 7   Direction: Dąbie   Stops amount: 18   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras
1;Krowodrza Górka P+R 03;Krowodrza Górka P+R;Dąbie;
2;Krowodrza Górka P+R 02;Krowodrza Górka P+R;;
3;Bratysławska 02;Bratysławska;;
4;Szpital Narutowicza 02;Szpital Narutowicza;;
5;Dworzec Towarowy 03;Dworzec Towarowy;;
6;Nowy Kleparz 02;Nowy Kleparz;;
7;Pędzichów 02;Pędzichów;;
8;Stary Kleparz 03;Stary Kleparz;;
9;Teatr Słowackiego 02;Teatr Słowackiego;;
10;Poczta Główna 01;Poczta Główna;;
11;Starowiślna 03;Starowiślna;;
12;Hala Targowa 01;Hala Targowa;;
13;Rondo Grzegórzeckie 01;Rondo Grzegórzeckie;;
14;Teatr Variété 01;Teatr Variété;;
15;Nullo 01;Nullo;;
16;Fabryczna 01;Fabryczna;;
17;Ofiar Dąbia 01;Ofiar Dąbia;;
18;Dąbie 93;Dąbie;;koniec_trasy
# Generated at 2026-04-17 17:12
